nCoV-2019_1_LEFT	nCoV-2019_1_RIGHT
nCoV-2019_2_LEFT	nCoV-2019_2_RIGHT
nCoV-2019_3_LEFT	nCoV-2019_3_RIGHT
nCoV-2019_4_LEFT	nCoV-2019_4_RIGHT
nCoV-2019_5_LEFT	nCoV-2019_5_RIGHT
nCoV-2019_6_LEFT	nCoV-2019_6_RIGHT
nCoV-2019_7_LEFT	nCoV-2019_7_RIGHT
nCoV-2019_8_LEFT	nCoV-2019_8_RIGHT
nCoV-2019_9_LEFT	nCoV-2019_9_RIGHT
nCoV-2019_10_LEFT	nCoV-2019_10_RIGHT
nCoV-2019_11_LEFT	nCoV-2019_11_RIGHT
nCoV-2019_12_LEFT	nCoV-2019_12_RIGHT
nCoV-2019_13_LEFT	nCoV-2019_13_RIGHT
nCoV-2019_14_LEFT	nCoV-2019_14_RIGHT
nCoV-2019_15_LEFT	nCoV-2019_15_RIGHT
nCoV-2019_16_LEFT	nCoV-2019_16_RIGHT
nCoV-2019_17_LEFT	nCoV-2019_17_RIGHT
nCoV-2019_18_LEFT_alt2	nCoV-2019_18_RIGHT
nCoV-2019_19_LEFT	nCoV-2019_19_RIGHT
nCoV-2019_20_LEFT	nCoV-2019_20_RIGHT
nCoV-2019_21_LEFT	nCoV-2019_21_RIGHT
nCoV-2019_22_LEFT	nCoV-2019_22_RIGHT
nCoV-2019_23_LEFT	nCoV-2019_23_RIGHT
nCoV-2019_24_LEFT	nCoV-2019_24_RIGHT
nCoV-2019_25_LEFT	nCoV-2019_25_RIGHT
nCoV-2019_26_LEFT	nCoV-2019_26_RIGHT
nCoV-2019_27_LEFT	nCoV-2019_27_RIGHT
nCoV-2019_28_LEFT	nCoV-2019_28_RIGHT
nCoV-2019_29_LEFT	nCoV-2019_29_RIGHT
nCoV-2019_30_LEFT	nCoV-2019_30_RIGHT
nCoV-2019_31_LEFT	nCoV-2019_31_RIGHT
nCoV-2019_32_LEFT	nCoV-2019_32_RIGHT
nCoV-2019_33_LEFT	nCoV-2019_33_RIGHT
nCoV-2019_34_LEFT	nCoV-2019_34_RIGHT
nCoV-2019_35_LEFT	nCoV-2019_35_RIGHT
nCoV-2019_36_LEFT	nCoV-2019_36_RIGHT
nCoV-2019_37_LEFT	nCoV-2019_37_RIGHT
nCoV-2019_38_LEFT	nCoV-2019_38_RIGHT
nCoV-2019_39_LEFT	nCoV-2019_39_RIGHT
nCoV-2019_40_LEFT	nCoV-2019_40_RIGHT
nCoV-2019_41_LEFT	nCoV-2019_41_RIGHT
nCoV-2019_42_LEFT	nCoV-2019_42_RIGHT
nCoV-2019_43_LEFT	nCoV-2019_43_RIGHT
nCoV-2019_44_LEFT	nCoV-2019_44_RIGHT
nCoV-2019_45_LEFT	nCoV-2019_45_RIGHT
nCoV-2019_46_LEFT	nCoV-2019_46_RIGHT
nCoV-2019_47_LEFT	nCoV-2019_47_RIGHT
nCoV-2019_48_LEFT	nCoV-2019_48_RIGHT
nCoV-2019_49_LEFT	nCoV-2019_49_RIGHT
nCoV-2019_50_LEFT	nCoV-2019_50_RIGHT
nCoV-2019_51_LEFT	nCoV-2019_51_RIGHT
nCoV-2019_52_LEFT	nCoV-2019_52_RIGHT
nCoV-2019_53_LEFT	nCoV-2019_53_RIGHT
nCoV-2019_54_LEFT	nCoV-2019_54_RIGHT
nCoV-2019_55_LEFT	nCoV-2019_55_RIGHT
nCoV-2019_56_LEFT	nCoV-2019_56_RIGHT
nCoV-2019_57_LEFT	nCoV-2019_57_RIGHT
nCoV-2019_58_LEFT	nCoV-2019_58_RIGHT
nCoV-2019_59_LEFT	nCoV-2019_59_RIGHT
nCoV-2019_60_LEFT	nCoV-2019_60_RIGHT
nCoV-2019_61_LEFT	nCoV-2019_61_RIGHT
nCoV-2019_62_LEFT	nCoV-2019_62_RIGHT
nCoV-2019_63_LEFT	nCoV-2019_63_RIGHT
nCoV-2019_64_LEFT	nCoV-2019_64_RIGHT
nCoV-2019_65_LEFT	nCoV-2019_65_RIGHT
nCoV-2019_66_LEFT	nCoV-2019_66_RIGHT
nCoV-2019_67_LEFT	nCoV-2019_67_RIGHT
nCoV-2019_68_LEFT	nCoV-2019_68_RIGHT
nCoV-2019_69_LEFT	nCoV-2019_69_RIGHT
nCoV-2019_70_LEFT	nCoV-2019_70_RIGHT
nCoV-2019_71_LEFT	nCoV-2019_71_RIGHT
nCoV-2019_72_LEFT	nCoV-2019_72_RIGHT
nCoV-2019_73_LEFT	nCoV-2019_73_RIGHT
nCoV-2019_74_LEFT	nCoV-2019_74_RIGHT
nCoV-2019_75_LEFT	nCoV-2019_75_RIGHT
nCoV-2019_76_LEFT	nCoV-2019_76_RIGHT
nCoV-2019_77_LEFT	nCoV-2019_77_RIGHT
nCoV-2019_78_LEFT	nCoV-2019_78_RIGHT
nCoV-2019_79_LEFT	nCoV-2019_79_RIGHT
nCoV-2019_80_LEFT	nCoV-2019_80_RIGHT
nCoV-2019_81_LEFT	nCoV-2019_81_RIGHT
nCoV-2019_82_LEFT	nCoV-2019_82_RIGHT
nCoV-2019_83_LEFT	nCoV-2019_83_RIGHT
nCoV-2019_84_LEFT	nCoV-2019_84_RIGHT
nCoV-2019_85_LEFT	nCoV-2019_85_RIGHT
nCoV-2019_86_LEFT	nCoV-2019_86_RIGHT
nCoV-2019_87_LEFT	nCoV-2019_87_RIGHT
nCoV-2019_88_LEFT	nCoV-2019_88_RIGHT
nCoV-2019_89_LEFT	nCoV-2019_89_RIGHT
nCoV-2019_90_LEFT	nCoV-2019_90_RIGHT
nCoV-2019_91_LEFT	nCoV-2019_91_RIGHT
nCoV-2019_92_LEFT	nCoV-2019_92_RIGHT
nCoV-2019_93_LEFT	nCoV-2019_93_RIGHT
nCoV-2019_94_LEFT	nCoV-2019_94_RIGHT
nCoV-2019_95_LEFT	nCoV-2019_95_RIGHT
nCoV-2019_96_LEFT	nCoV-2019_96_RIGHT
nCoV-2019_97_LEFT	nCoV-2019_97_RIGHT
nCoV-2019_98_LEFT	nCoV-2019_98_RIGHT
